Repository;Commits chunk start;Commits chunk end;# of microservices detected;# of microservices;False negatives;False positives
EdwinVW.pitstop;2;26;9;7;;2
EdwinVW.pitstop;27;44;9;7;;2
EdwinVW.pitstop;45;50;11;7;;4
EdwinVW.pitstop;51;51;11;7;;4
EdwinVW.pitstop;52;74;11;7;;4
EdwinVW.pitstop;75;115;10;7;;3
EdwinVW.pitstop;116;281;9;7;;2
EdwinVW.pitstop;282;303;9;7;;2
EdwinVW.pitstop;304;346;9;7;;2
EdwinVW.pitstop;347;397;9;7;;2
FudanSELab.train-ticket;192;224;41;40;;1
FudanSELab.train-ticket;225;287;41;40;;1
FudanSELab.train-ticket;288;300;41;40;;1
FudanSELab.train-ticket;301;308;41;40;;1
FudanSELab.train-ticket;309;312;42;40;;2
FudanSELab.train-ticket;313;319;42;40;;2
FudanSELab.train-ticket;320;322;42;44;4;2
FudanSELab.train-ticket;323;323;42;44;4;2
ewolff.microservice;84;111;6;3;;3
ewolff.microservice;112;140;6;3;;3
mcroservices-patterns.ftgo-application;2;6;7;6;;1
mcroservices-patterns.ftgo-application;7;9;7;6;;1
mcroservices-patterns.ftgo-application;10;21;7;6;;1
mcroservices-patterns.ftgo-application;22;22;7;6;;1
mcroservices-patterns.ftgo-application;23;24;7;6;;1
mcroservices-patterns.ftgo-application;25;29;7;6;;1
mcroservices-patterns.ftgo-application;30;30;7;6;;1
mcroservices-patterns.ftgo-application;31;44;7;6;;1
mcroservices-patterns.ftgo-application;45;48;7;6;;1
mcroservices-patterns.ftgo-application;49;54;7;6;;1
mcroservices-patterns.ftgo-application;55;58;8;6;;2
mcroservices-patterns.ftgo-application;59;59;8;6;;2
mcroservices-patterns.ftgo-application;60;61;8;6;;2
mcroservices-patterns.ftgo-application;62;63;8;6;;2
mcroservices-patterns.ftgo-application;64;72;8;6;;2
mcroservices-patterns.ftgo-application;73;73;8;6;;2
mcroservices-patterns.ftgo-application;74;84;9;6;;3
mcroservices-patterns.ftgo-application;85;85;8;6;;2
mcroservices-patterns.ftgo-application;86;87;9;6;;3
mcroservices-patterns.ftgo-application;88;94;9;6;;3
mcroservices-patterns.ftgo-application;95;98;9;6;;3
mcroservices-patterns.ftgo-application;99;101;9;6;;3
mcroservices-patterns.ftgo-application;102;103;9;6;;3
mcroservices-patterns.ftgo-application;104;104;9;6;;3
mcroservices-patterns.ftgo-application;105;107;9;6;;3
mcroservices-patterns.ftgo-application;108;113;9;6;;3
mcroservices-patterns.ftgo-application;114;114;9;6;;3
mcroservices-patterns.ftgo-application;115;117;9;6;;3
mcroservices-patterns.ftgo-application;118;118;9;6;;3
mcroservices-patterns.ftgo-application;119;120;9;6;;3
mcroservices-patterns.ftgo-application;121;122;9;6;;3
mcroservices-patterns.ftgo-application;123;123;9;6;;3
mcroservices-patterns.ftgo-application;124;133;9;6;;3
mcroservices-patterns.ftgo-application;134;134;9;6;;3
mcroservices-patterns.ftgo-application;135;145;9;6;;3
mcroservices-patterns.ftgo-application;146;146;9;6;;3
mcroservices-patterns.ftgo-application;147;148;9;6;;3
mcroservices-patterns.ftgo-application;149;149;9;6;;3
mcroservices-patterns.ftgo-application;150;158;9;6;;3
mcroservices-patterns.ftgo-application;159;159;9;6;;3
mcroservices-patterns.ftgo-application;160;161;9;6;;3
mcroservices-patterns.ftgo-application;162;165;9;6;;3
mcroservices-patterns.ftgo-application;166;166;9;6;;3
mcroservices-patterns.ftgo-application;167;167;9;6;;3
mcroservices-patterns.ftgo-application;168;179;10;6;;4
mcroservices-patterns.ftgo-application;180;180;11;6;;5
mcroservices-patterns.ftgo-application;181;181;10;6;;4
mcroservices-patterns.ftgo-application;182;182;10;6;;4
mcroservices-patterns.ftgo-application;183;186;9;6;;3
mcroservices-patterns.ftgo-application;187;188;10;6;;4
mcroservices-patterns.ftgo-application;189;190;9;6;;3
mcroservices-patterns.ftgo-application;191;191;9;6;;3
mcroservices-patterns.ftgo-application;192;194;9;6;;3
mcroservices-patterns.ftgo-application;195;203;10;6;;4
mcroservices-patterns.ftgo-application;204;207;9;6;;3
mcroservices-patterns.ftgo-application;208;234;10;6;;4
mcroservices-patterns.ftgo-application;235;235;9;6;;3
mcroservices-patterns.ftgo-application;236;236;10;6;;4
mcroservices-patterns.ftgo-application;237;247;10;6;;4
mcroservices-patterns.ftgo-application;248;251;9;6;;3
mcroservices-patterns.ftgo-application;252;255;9;6;;3
mcroservices-patterns.ftgo-application;256;261;9;6;;3
mcroservices-patterns.ftgo-application;262;266;10;6;;4
mcroservices-patterns.ftgo-application;267;267;9;6;;3
mcroservices-patterns.ftgo-application;268;272;10;6;;4
mcroservices-patterns.ftgo-application;273;289;10;6;;4
mcroservices-patterns.ftgo-application;290;295;9;6;;3
spring-petclinic.spring-petclinic-microservices;527;529;7;3;;4
spring-petclinic.spring-petclinic-microservices;530;530;6;3;;3
spring-petclinic.spring-petclinic-microservices;531;533;7;3;;4
spring-petclinic.spring-petclinic-microservices;539;549;7;3;;4
spring-petclinic.spring-petclinic-microservices;550;552;8;3;;5
spring-petclinic.spring-petclinic-microservices;553;554;7;3;;4
spring-petclinic.spring-petclinic-microservices;555;573;8;3;;5
spring-petclinic.spring-petclinic-microservices;574;602;0;3;3;
spring-petclinic.spring-petclinic-microservices;603;615;0;3;3;
spring-petclinic.spring-petclinic-microservices;616;622;0;3;3;
spring-petclinic.spring-petclinic-microservices;623;623;0;3;3;
spring-petclinic.spring-petclinic-microservices;624;625;0;3;3;
spring-petclinic.spring-petclinic-microservices;626;629;0;3;3;
spring-petclinic.spring-petclinic-microservices;630;644;1;3;3;1
spring-petclinic.spring-petclinic-microservices;645;646;1;3;3;1
spring-petclinic.spring-petclinic-microservices;647;651;1;3;3;1
spring-petclinic.spring-petclinic-microservices;652;656;1;3;3;1
spring-petclinic.spring-petclinic-microservices;657;657;1;3;3;1
spring-petclinic.spring-petclinic-microservices;658;672;1;3;3;1
spring-petclinic.spring-petclinic-microservices;673;727;1;3;3;1
sqshq.PiggyMetrics;125;154;8;4;;4
sqshq.PiggyMetrics;155;251;9;4;;5
sqshq.PiggyMetrics;252;257;10;4;;6
sqshq.PiggyMetrics;258;258;9;4;;5
sqshq.PiggyMetrics;259;290;10;4;;6
1-Platform.one-platform;33;169;1;1;;
1-Platform.one-platform;170;183;4;4;;
1-Platform.one-platform;184;248;4;4;;
1-Platform.one-platform;249;338;5;5;;
1-Platform.one-platform;339;374;7;6;;1
1-Platform.one-platform;375;431;6;5;;1
1-Platform.one-platform;432;601;5;4;;1
1-Platform.one-platform;602;602;6;5;;1
1-Platform.one-platform;603;796;6;5;;1
1-Platform.one-platform;797;804;6;5;;1
1-Platform.one-platform;805;898;6;5;;1
1-Platform.one-platform;899;924;6;5;;1
1-Platform.one-platform;925;984;7;6;;1
1-Platform.one-platform;985;996;8;6;;2
1-Platform.one-platform;997;1033;8;6;;2
1-Platform.one-platform;1034;1043;9;7;;2
1-Platform.one-platform;1044;1125;9;7;;2
1-Platform.one-platform;1126;1274;9;7;;2
1-Platform.one-platform;1275;1326;9;7;;2
1-Platform.one-platform;1327;1509;10;8;;2
OpenCodeFoundation.eSchool;5;6;1;1;;
OpenCodeFoundation.eSchool;7;31;1;2;1;
OpenCodeFoundation.eSchool;32;76;2;2;;
OpenCodeFoundation.eSchool;77;110;3;2;;1
OpenCodeFoundation.eSchool;111;123;3;2;;1
OpenCodeFoundation.eSchool;124;133;2;1;;1
OpenCodeFoundation.eSchool;134;134;2;1;;1
OpenCodeFoundation.eSchool;135;163;3;2;;1
OpenCodeFoundation.eSchool;164;175;3;2;;1
OpenCodeFoundation.eSchool;176;181;2;1;;1
OpenCodeFoundation.eSchool;182;184;3;1;;2
OpenCodeFoundation.eSchool;185;239;4;1;;3
OpenCodeFoundation.eSchool;240;265;5;5;3;3
OpenCodeFoundation.eSchool;266;275;8;5;;3
OpenLiberty.liberty-bikes;461;487;4;3;;1
OpenLiberty.liberty-bikes;488;529;4;4;1;1
OpenLiberty.liberty-bikes;530;591;4;3;;1
ThoreauZZ.spring-cloud-example;9;14;4;2;1;3
ThoreauZZ.spring-cloud-example;16;23;5;2;;3
ThoreauZZ.spring-cloud-example;24;24;5;2;;3
ThoreauZZ.spring-cloud-example;25;41;6;2;;4
ThoreauZZ.spring-cloud-example;42;42;6;2;;4
ThoreauZZ.spring-cloud-example;43;52;7;2;;5
ThoreauZZ.spring-cloud-example;53;53;7;2;;5
ThoreauZZ.spring-cloud-example;54;59;7;2;;5
ThoreauZZ.spring-cloud-example;60;61;7;2;;5
ThoreauZZ.spring-cloud-example;62;64;7;2;;5
ThoreauZZ.spring-cloud-example;65;69;7;2;;5
ThoreauZZ.spring-cloud-example;70;70;7;3;1;5
ThoreauZZ.spring-cloud-example;71;77;8;3;;5
ThoreauZZ.spring-cloud-example;78;85;9;3;;6
ThoreauZZ.spring-cloud-example;86;90;8;3;;5
ThoreauZZ.spring-cloud-example;91;128;9;3;;6
ThoreauZZ.spring-cloud-example;129;132;9;3;;6
ThoreauZZ.spring-cloud-example;133;133;10;3;;7
ThoreauZZ.spring-cloud-example;134;134;9;3;;6
ThoreauZZ.spring-cloud-example;135;139;10;3;;7
ThoreauZZ.spring-cloud-example;140;142;9;3;;6
ThoreauZZ.spring-cloud-example;143;150;9;3;;6
ThoreauZZ.spring-cloud-example;151;154;10;3;;7
ThoreauZZ.spring-cloud-example;155;155;10;3;;7
ThoreauZZ.spring-cloud-example;156;157;10;3;;7
ThoreauZZ.spring-cloud-example;158;174;10;3;;7
ThoreauZZ.spring-cloud-example;175;175;10;3;;7
ThoreauZZ.spring-cloud-example;176;184;10;3;;7
ThoreauZZ.spring-cloud-example;185;254;10;3;;7
ThoreauZZ.spring-cloud-example;255;279;10;3;;7
abpframework.eShopOnAbp;4;4;2;2;;
abpframework.eShopOnAbp;744;744;1;1;;
abpframework.eShopOnAbp;747;747;1;1;;
abpframework.eShopOnAbp;807;807;1;1;;
abpframework.eShopOnAbp;834;834;1;1;;
abpframework.eShopOnAbp;849;849;1;1;;
abpframework.eShopOnAbp;850;851;3;3;;
abpframework.eShopOnAbp;854;854;3;3;;
abpframework.eShopOnAbp;856;862;3;3;;
abpframework.eShopOnAbp;863;867;8;7;;1
abpframework.eShopOnAbp;868;871;11;6;;5
abpframework.eShopOnAbp;872;874;3;3;;
abpframework.eShopOnAbp;875;883;11;6;;5
abpframework.eShopOnAbp;884;885;3;3;;
abpframework.eShopOnAbp;886;908;11;6;;5
abpframework.eShopOnAbp;909;909;11;6;;5
abpframework.eShopOnAbp;910;910;11;6;;5
abpframework.eShopOnAbp;911;911;11;6;;5
abpframework.eShopOnAbp;912;915;11;6;;5
abpframework.eShopOnAbp;916;916;11;6;;5
abpframework.eShopOnAbp;917;917;11;6;;5
abpframework.eShopOnAbp;918;918;11;6;;5
abpframework.eShopOnAbp;919;921;11;6;;5
abpframework.eShopOnAbp;922;923;11;6;;5
abpframework.eShopOnAbp;924;1040;11;6;;5
abpframework.eShopOnAbp;1041;1041;11;6;;5
abpframework.eShopOnAbp;1042;1051;11;6;;5
abpframework.eShopOnAbp;1052;1066;11;6;;5
abpframework.eShopOnAbp;1067;1067;12;7;;5
abpframework.eShopOnAbp;1068;1079;12;7;;5
abpframework.eShopOnAbp;1080;1081;11;6;;5
abpframework.eShopOnAbp;1082;1082;12;7;;5
abpframework.eShopOnAbp;1083;1092;11;6;;5
abpframework.eShopOnAbp;1093;1093;12;7;;5
abpframework.eShopOnAbp;1094;1098;11;6;;5
abpframework.eShopOnAbp;1099;1101;12;7;;5
abpframework.eShopOnAbp;1102;1102;11;6;;5
abpframework.eShopOnAbp;1103;1103;11;6;;5
abpframework.eShopOnAbp;1104;1139;11;6;;5
abpframework.eShopOnAbp;1140;1170;12;7;;5
abpframework.eShopOnAbp;1171;1173;11;6;;5
abpframework.eShopOnAbp;1174;1176;12;7;;5
abpframework.eShopOnAbp;1177;1177;11;6;;5
abpframework.eShopOnAbp;1178;1213;12;7;;5
abpframework.eShopOnAbp;1214;1223;11;6;;5
abpframework.eShopOnAbp;1224;1277;12;7;;5
abpframework.eShopOnAbp;1278;1319;12;7;;5
aliyun.alibabacloud-microservice-demo;16;23;2;2;1;1
aliyun.alibabacloud-microservice-demo;24;24;2;2;1;1
aliyun.alibabacloud-microservice-demo;25;110;3;2;;1
aliyun.alibabacloud-microservice-demo;111;111;3;2;;1
aliyun.alibabacloud-microservice-demo;112;113;4;9;6;1
aliyun.alibabacloud-microservice-demo;114;115;4;9;6;1
aliyun.alibabacloud-microservice-demo;116;118;3;2;;1
aliyun.alibabacloud-microservice-demo;119;130;4;9;6;1
aliyun.alibabacloud-microservice-demo;131;131;3;2;;1
aliyun.alibabacloud-microservice-demo;132;132;4;9;6;1
aliyun.alibabacloud-microservice-demo;133;147;5;9;6;2
aliyun.alibabacloud-microservice-demo;148;159;5;9;6;2
aliyun.alibabacloud-microservice-demo;160;422;5;9;6;2
asc-lab.micronaut-microservices-poc;103;116;7;5;;2
asc-lab.micronaut-microservices-poc;117;123;7;6;1;2
asc-lab.micronaut-microservices-poc;124;129;1;6;5;
asc-lab.micronaut-microservices-poc;130;162;8;6;;2
asc-lab.micronaut-microservices-poc;163;192;8;7;1;2
asc-lab.micronaut-microservices-poc;193;203;9;7;;2
asc-lab.micronaut-microservices-poc;204;219;10;8;;2
asc-lab.micronaut-microservices-poc;220;292;10;8;;2
asc-lab.micronaut-microservices-poc;293;296;10;9;1;2
asc-lab.micronaut-microservices-poc;297;297;10;8;;2
asc-lab.micronaut-microservices-poc;298;302;10;9;1;2
asc-lab.micronaut-microservices-poc;303;384;11;9;;2
geoserver.geoserver-cloud;3;3;0;0;;
geoserver.geoserver-cloud;4;4;1;0;;1
geoserver.geoserver-cloud;5;6;2;0;;2
geoserver.geoserver-cloud;7;7;2;1;1;2
